category_code,event_name,elimination_name,discipline_id,ladder_id,sex,discipline,total_rounds,to_advance,last_update,round_name,heat_id,heat_name,sailor_name,sail_nr,place,note
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,3,1657_42a,42,Ishii,J-20,3,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,3,1657_43a,43,Jamaer,G-208,4,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,3,1657_43a,43,Chapuis,E-99,1,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,3,1657_43a,43,Ferraro,I-505,3,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,3,1657_43a,43,Neubauer,GRE-734,2,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,4,1657_44a,44,Fernandez,E-42,1,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,4,1657_44a,44,Browne,BRA-105,2,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,4,1657_44a,44,Kiefer Quintana,E-242,4,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,4,1657_44a,44,Sugi,J-7,3,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,4,1657_45a,45,Martin,F-193,4,
